"","Realm_GETL1","Code","Biome..GET.L3._Ecosystem_Fuctional_Groups..GET.Level.3.","EcosystemType_GETLevel5_6","RLE_2025","EPL_2025","IUCN_GET_2025_L2","IUCN_GET_2022_L3","GET_L2.text","GET_L3.text"
"347","Terrestrial","SKr6","Succulent Karoo","Stinkfonteinberge Eastern Apron Shrubland","LC","WP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"348","Terrestrial","SKr7","Succulent Karoo","Northern Richtersveld Scorpionstailveld","EN","WP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"349","Terrestrial","SKs10","Succulent Karoo","Riethuis-Wallekraal Quartz Vygieveld","LC","WP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"350","Terrestrial","SKs13","Succulent Karoo","Klawer Sandy Shrubland","CR","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"351","Terrestrial","SKs9","Succulent Karoo","Namaqualand Inland Duneveld","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"352","Terrestrial","SVcb11","Savanna","Andesite Mountain Bushveld","LC","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"353","Terrestrial","SVcb14","Savanna","Loskop Thornveld","LC","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"354","Terrestrial","SVcb18","Savanna","Roodeberg Bushveld","LC","MP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"355","Terrestrial","SVcb24","Savanna","Mamabolo Mountain Bushveld","LC","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"356","Terrestrial","SVcb8","Savanna","Moot Plains Bushveld","EN","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"357","Terrestrial","SVk13","Savanna","Olifantshoek Plains Thornveld","LC","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"358","Terrestrial","SVk16","Savanna","Gordonia Plains Shrubland","LC","MP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"359","Terrestrial","SVk2","Savanna","Stella Bushveld","LC","NP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"360","Terrestrial","SVk3","Savanna","Schweizer-Reneke Bushveld","VU","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"361","Terrestrial","SVk4","Savanna","Kimberley Thornveld","LC","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"362","Terrestrial","SVk6","Savanna","Schmidtsdrif Thornveld","LC","NP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"363","Terrestrial","SVk7","Savanna","Ghaap Plateau Vaalbosveld","LC","NP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"364","Terrestrial","SVkd2","Savanna","Gordonia Kameeldoring Bushveld","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"365","Terrestrial","SVkd3","Savanna","Auob Duneveld","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"366","Terrestrial","SVl20","Savanna","Western Maputaland Clay Bushveld","EN","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"367","Terrestrial","SVl21","Savanna","Makatini Clay Thicket","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"368","Terrestrial","AZa2","Azonal Vegetation","Cape Lowland Alluvial Vegetation","EN","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"369","Terrestrial","AZa4","Azonal Vegetation","Upper Gariep Alluvial Vegetation","LC","PP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"370","Terrestrial","AZd1","Azonal Vegetation","Namib Seashore Vegetation","CR","NP","MT2","MT2.1","Supralittoral coastal systems","Coastal shrublands and grasslands"
"371","Terrestrial","AZi1","Azonal Vegetation","Namaqualand Riviere","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"372","Terrestrial","CB3","Indian Ocean Coastal Belt","KwaZulu-Natal Coastal Belt Grassland","EN","NP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"373","Terrestrial","FFb4","Fynbos","Central Coastal Shale Band Vegetation","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"374","Terrestrial","FFb5","Fynbos","Eastern Inland Shale Band Vegetation","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"375","Terrestrial","FFg5","Fynbos","Garden Route Granite Fynbos","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"376","Terrestrial","FFs25","Fynbos","North Kammanassie Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"377","Terrestrial","FFs28","Fynbos","Kouga Grassy Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"378","Terrestrial","FFs29","Fynbos","Algoa Sandstone Fynbos","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"379","Terrestrial","FRs11","Fynbos","Western Ruens Shale Renosterveld","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"380","Terrestrial","FRs12","Fynbos","Central Ruens Shale Renosterveld","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"381","Terrestrial","FS3","Fynbos","Saldanha Flats Strandveld","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"382","Terrestrial","FS4","Fynbos","Saldanha Limestone Strandveld","CR","MP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"383","Terrestrial","FS9","Fynbos","Groot Brak Dune Strandveld","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"384","Terrestrial","Gd4","Grassland","Southern Drakensberg Highland Grassland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"385","Terrestrial","Gh10","Grassland","Vaal-Vet Sandy Grassland","EN","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"386","Terrestrial","NKl1","Nama-Karoo","Gamka Karoo","LC","PP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"387","Terrestrial","SKk1","Succulent Karoo","Northern Knersvlakte Vygieveld","LC","MP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"388","Terrestrial","SKv11","Succulent Karoo","Eastern Little Karoo","EN","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"389","Terrestrial","SKv6","Succulent Karoo","Koedoesberge-Moordenaars Karoo","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"390","Terrestrial","SVl13","Savanna","Barberton Serpentine Sourveld","LC","WP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"391","Terrestrial","SVl26","Savanna","Muzi Palm Veld and Wooded Grassland","CR","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"392","Terrestrial","CB6","Indian Ocean Coastal Belt","KwaZulu-Natal Coastal Belt Thornveld","EN","NP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"393","Terrestrial","FFs32","Fynbos","Nardouw Sandstone Fynbos","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"394","Terrestrial","FRs20","Fynbos","Citrusdal Shale Renosterveld","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"395","Terrestrial","Gm30","Grassland","Steenkampsberg Montane Grassland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"396","Terrestrial","Gm31","Grassland","Long Tom Pass Montane Grassland","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"397","Terrestrial","Gs19","Grassland","Dry Coast Hinterland Grassland","VU","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"398","Terrestrial","Gs20","Grassland","Moist Coast Hinterland Grassland","VU","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"399","Terrestrial","SVl25","Savanna","Maputaland Pallid Sandy Bushveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"400","Terrestrial","AT16","Albany Thicket","Albany Bontveld","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"401","Terrestrial","AT17","Albany Thicket","Albany Mesic Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"402","Terrestrial","AT18","Albany Thicket","Albany Valley Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"403","Terrestrial","AT19","Albany Thicket","Baviaans Valley Thicket","LC","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"404","Terrestrial","AT20","Albany Thicket","Bethelsdorp Bontveld","LC","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"405","Terrestrial","AT21","Albany Thicket","Buffels Mesic Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"406","Terrestrial","AT22","Albany Thicket","Buffels Valley Thicket","CR","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"407","Terrestrial","AT23","Albany Thicket","Crossroads Grassland Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"408","Terrestrial","AT24","Albany Thicket","Doubledrift Karroid Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"409","Terrestrial","AT25","Albany Thicket","Eastern Gwarrieveld","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"410","Terrestrial","AT26","Albany Thicket","Elands Forest Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"411","Terrestrial","AT27","Albany Thicket","Escarpment Arid Thicket","LC","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"412","Terrestrial","AT28","Albany Thicket","Escarpment Mesic Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"413","Terrestrial","AT29","Albany Thicket","Escarpment Valley Thicket","LC","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"414","Terrestrial","AT30","Albany Thicket","Fish Arid Thicket","LC","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"415","Terrestrial","AT31","Albany Thicket","Fish Mesic Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"416","Terrestrial","AT32","Albany Thicket","Fish Valley Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"417","Terrestrial","AT33","Albany Thicket","Gamka Arid Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"418","Terrestrial","AT34","Albany Thicket","Gamka Valley Thicket","LC","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"419","Terrestrial","AT35","Albany Thicket","Geluk Grassland Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"420","Terrestrial","AT36","Albany Thicket","Goukamma Dune Thicket","CR","WP","MT2","MT2.1","Supralittoral coastal systems","Coastal shrublands and grasslands"
"421","Terrestrial","AT37","Albany Thicket","Gouritz Valley Thicket","CR","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"422","Terrestrial","AT38","Albany Thicket","Grahamstown Grassland Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"423","Terrestrial","AT39","Albany Thicket","Grassridge Bontveld","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"424","Terrestrial","AT40","Albany Thicket","Hartenbos Dune Thicket","EN","PP","MT2","MT2.1","Supralittoral coastal systems","Coastal shrublands and grasslands"
"425","Terrestrial","AT41","Albany Thicket","Kasouga Dune Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"426","Terrestrial","AT42","Albany Thicket","Koedoeskloof Karroid Thicket","LC","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"427","Terrestrial","AT43","Albany Thicket","Mons Ruber Fynbos Thicket","LC","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"428","Terrestrial","AT44","Albany Thicket","Motherwell Karroid Thicket","CR","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"429","Terrestrial","AT45","Albany Thicket","Nanaga Savanna Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"430","Terrestrial","AT46","Albany Thicket","Oudtshoorn Karroid Thicket","LC","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"431","Terrestrial","AT47","Albany Thicket","Saltaire Karroid Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"432","Terrestrial","AT48","Albany Thicket","Sardinia Forest Thicket","CR","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"433","Terrestrial","AT49","Albany Thicket","Sundays Arid Thicket","VU","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"434","Terrestrial","AT50","Albany Thicket","Sundays Mesic Thicket","LC","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"435","Terrestrial","AT51","Albany Thicket","Sundays Valley Thicket","LC","MP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"436","Terrestrial","AT52","Albany Thicket","Thorndale Forest Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"437","Terrestrial","AT53","Albany Thicket","Umtiza Forest Thicket","CR","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"438","Terrestrial","AT54","Albany Thicket","Vanstadens Forest Thicket","LC","WP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"439","Terrestrial","AT55","Albany Thicket","Western Gwarrieveld","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"440","Terrestrial","AT56","Albany Thicket","Hamburg Dune Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"441","Terrestrial","AT57","Albany Thicket","St Francis Dune Thicket","EN","PP","MT2","MT2.1","Supralittoral coastal systems","Coastal shrublands and grasslands"
"442","Terrestrial","AT58","Albany Thicket","Willowmore Gwarrieveld","LC","NP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"443","Terrestrial","SVs8","Savanna","South Eastern Coastal Thornveld","EN","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"444","Terrestrial","SKn7","Succulent Karoo","Southern Namaqualand Quartzite Klipkoppe Shrubland","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"445","Terrestrial","SKs14","Succulent Karoo","Namaqualand Heuweltjie Strandveld","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"446","Terrestrial","AZa3","Azonal Vegetation","Lower Gariep Alluvial Vegetation","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"447","Terrestrial","FFb3","Fynbos","Central Inland Shale Band Vegetation","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"448","Terrestrial","Gd5","Grassland","Northern Drakensberg Highland Grassland","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"449","Terrestrial","Gh13","Grassland","Klerksdorp Thornveld","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"450","Terrestrial","Gm12","Grassland","Eastern Highveld Grassland","EN","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"451","Terrestrial","Gm27","Grassland","Strydpoort Summit Sourveld","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"452","Terrestrial","SVk1","Savanna","Mafikeng Bushveld","LC","NP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"453","Terrestrial","SVl4","Savanna","Delagoa Lowveld","LC","WP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"454","Terrestrial","SVl7","Savanna","Gravelotte Rocky Bushveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"455","Terrestrial","AT15","Albany Thicket","Albany Arid Thicket","LC","PP","T1","T1.2","Tropical-subtropical forests","Tropical-subtropical dry forests and thickets"
"456","Terrestrial","FS10","Fynbos","Southwestern Strandveld","EN","MP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"457","Terrestrial","FS11","Fynbos","Grootbos Strandveld","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"458","Terrestrial","FS12","Fynbos","Southeastern Strandveld","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"459","Terrestrial","FS13","Fynbos","Goukamma Strandveld","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"460","Terrestrial","FS14","Fynbos","St Franscis Strandveld","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"461","Terrestrial","SVcb29","Savanna","Central Sandy Mountain Bushveld","LC","WP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"462","Terrestrial","SVk17","Savanna","Vryburg Thornveld","LC","NP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"463","Terrestrial","SVk18","Savanna","Morokweng Thornveld","LC","NP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"464","Estuarine","ST7","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"465","Estuarine","ST7s","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"466","Estuarine","ST7","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"467","Estuarine","ST7s","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"468","Estuarine","ST4","SubTrop","Subtropical Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"469","Estuarine","ST4s","SubTrop","Subtropical Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"470","Estuarine","ST6","SubTrop","Subtropical Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"471","Estuarine","ST6s","SubTrop","Subtropical Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"472","Estuarine","WT8","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"473","Estuarine","WT8s","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"474","Estuarine","WT8","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"475","Estuarine","WT8s","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"476","Estuarine","WT4","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"477","Estuarine","WT4s","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"478","Estuarine","WT8","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"479","Estuarine","WT8s","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"480","Estuarine","WT8","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"481","Estuarine","WT8s","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"482","Estuarine","WT7","","Warm Temperate Small Fluvially Dominated","LC","WP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"483","Estuarine","WT7s","","Warm Temperate Small Fluvially Dominated","LC","WP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"484","Estuarine","ST7","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"485","Estuarine","ST7s","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"486","Estuarine","WT8","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"487","Estuarine","WT8s","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"488","Estuarine","CT3","","Cool Temperate Estuarine Lake","EN","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"489","Estuarine","CT3s","","Cool Temperate Estuarine Lake","EN","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"490","Estuarine","WT6","","Warm Temperate Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"491","Estuarine","WT6s","","Warm Temperate Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"492","Estuarine","WT6","","Warm Temperate Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"493","Estuarine","WT6s","","Warm Temperate Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"494","Estuarine","CT1","","Cool Temperate Arid Predominantly Closed","EN","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"495","Estuarine","CT1s","","Cool Temperate Arid Predominantly Closed","EN","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"496","Estuarine","CT9","","Cool Temperate Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"497","Estuarine","CT9s","","Cool Temperate Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"498","Estuarine","ST7","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"499","Estuarine","ST7s","SubTrop","Subtropical Small Temporarily Closed","VU","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"500","Estuarine","ST4","","Subtropical Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"501","Estuarine","ST4s","","Subtropical Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"502","Estuarine","WT4","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"503","Estuarine","WT4s","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"504","Estuarine","WT6","","Warm Temperate Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"505","Estuarine","WT6s","","Warm Temperate Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"506","Estuarine","WT4","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"507","Estuarine","WT4s","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"508","Estuarine","WT4","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"509","Estuarine","WT4s","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"510","Estuarine","WT4","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"511","Estuarine","WT4s","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"512","Estuarine","WT4","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"513","Estuarine","WT4s","","Warm Temperate Large Temporarily Closed","VU","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"514","Estuarine","WT8","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"515","Estuarine","WT8s","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"516","Estuarine","WT8","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"517","Estuarine","WT8s","","Warm Temperate Small Temporarily Closed","LC","MP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"518","Estuarine","CT5","","Cool Temperate Large Temporarily Closed","EN","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"519","Estuarine","CT5s","","Cool Temperate Large Temporarily Closed","EN","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"520","Estuarine","CT5","","Cool Temperate Large Temporarily Closed","EN","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"521","Estuarine","CT5s","","Cool Temperate Large Temporarily Closed","EN","PP","FM1","FM1.3","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"522","Estuarine","WT6","","Warm Temperate Predominantly Open","VU","PP","FM1","FM1.2","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
