"","Realm_GETL1","Code","Biome..GET.L3._Ecosystem_Fuctional_Groups..GET.Level.3.","EcosystemType_GETLevel5_6","RLE_2025","EPL_2025","IUCN_GET_2025_L2","IUCN_GET_2022_L3","GET_L2.text","GET_L3.text"
"41","Terrestrial","Gm20","Grassland","Leolo Summit Sourveld","LC","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"42","Terrestrial","FRs10","Fynbos","Peninsula Shale Renosterveld","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"43","Terrestrial","FFs3","Fynbos","Olifants Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"44","Terrestrial","SKt1","Succulent Karoo","Western Bushmanland Klipveld","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"45","Terrestrial","Gm28","Grassland","Soutpansberg Summit Sourveld","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"46","Terrestrial","Dg8","Desert","Southern Nababiepsberge Mountain Desert","LC","NP","T5","T5.5","Deserts and semi-deserts","Hyper-arid deserts"
"47","Terrestrial","FFa2","Fynbos","Breede Alluvium Fynbos","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"48","Terrestrial","Gm14","Grassland","Wakkerstroom Montane Grassland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"49","Terrestrial","SVcb10","Savanna","Gauteng Shale Mountain Bushveld","EN","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"50","Terrestrial","FRs4","Fynbos","Ceres Shale Renosterveld","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"51","Terrestrial","Gh1","Grassland","Karoo Escarpment Grassland","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"52","Terrestrial","FFs9","Fynbos","Peninsula Sandstone Fynbos","CR","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"53","Terrestrial","SVcb3","Savanna","Zeerust Thornveld","LC","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"54","Terrestrial","Gm2","Grassland","Senqu Montane Shrubland","LC","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"55","Terrestrial","Gm29","Grassland","Waterberg-Magaliesberg Summit Sourveld","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"56","Terrestrial","SVcb21","Savanna","Soutpansberg Mountain Bushveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"57","Terrestrial","SVcb16","Savanna","Western Sandy Bushveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"58","Terrestrial","Gm25","Grassland","Woodbush Granite Grassland","CR","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"59","Terrestrial","Gm26","Grassland","Wolkberg Dolomite Grassland","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"60","Terrestrial","FRs1","Fynbos","Vanrhynsdorp Shale Renosterveld","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"61","Terrestrial","SKv8","Succulent Karoo","Western Little Karoo","LC","MP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"62","Terrestrial","FRg3","Fynbos","Robertson Granite Renosterveld","LC","MP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"63","Terrestrial","Gm1","Grassland","Zastron Moist Grassland","LC","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"64","Terrestrial","SVcb5","Savanna","Pilanesberg Mountain Bushveld","LC","WP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"65","Terrestrial","FFf1","Fynbos","Elim Ferricrete Fynbos","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"66","Terrestrial","Gs8","Grassland","Mooi River Highland Grassland","EN","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"67","Terrestrial","SKr15","Succulent Karoo","Anenous Plateau Shrubland","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"68","Terrestrial","SKk4","Succulent Karoo","Knersvlakte Shale Vygieveld","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"69","Terrestrial","FRc1","Fynbos","Swartland Silcrete Renosterveld","CR","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"70","Terrestrial","SKs12","Succulent Karoo","Namaqualand Spinescent Grassland","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"71","Terrestrial","SVl8","Savanna","Tzaneen Sour Bushveld","EN","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"72","Terrestrial","FFd4","Fynbos","Atlantis Sand Fynbos","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"73","Terrestrial","SKr17","Succulent Karoo","Eenriet Plains Succulent Shrubland","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"74","Terrestrial","NKb3","Nama-Karoo","Bushmanland Arid Grassland","LC","PP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"75","Terrestrial","SVk15","Savanna","Koranna-Langeberg Mountain Bushveld","LC","MP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"76","Terrestrial","Gd7","Grassland","uKhahlamba Basalt Grassland","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"77","Terrestrial","FFa4","Fynbos","Lourensford Alluvium Fynbos","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"78","Terrestrial","Gh5","Grassland","Bloemfontein Dry Grassland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"79","Terrestrial","SVmp7","Savanna","Phalaborwa-Timbavati Mopaneveld","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"80","Terrestrial","FRg1","Fynbos","Namaqualand Granite Renosterveld","LC","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"81","Terrestrial","FFs27","Fynbos","Kouga Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"82","Terrestrial","SVs6","Savanna","Eastern Valley Bushveld","LC","NP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"83","Terrestrial","CB2","Indian Ocean Coastal Belt","Maputaland Wooded Grassland","EN","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"84","Terrestrial","Gm5","Grassland","Basotho Montane Shrubland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"85","Terrestrial","SVcb27","Savanna","Sekhukhune Plains Bushveld","EN","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"86","Terrestrial","Gs2","Grassland","Ithala Quartzite Sourveld","LC","MP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"87","Terrestrial","SVl11","Savanna","Malelane Mountain Bushveld","LC","WP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"88","Terrestrial","SVl27","Savanna","Crocodile Gorge Mountain Bushveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"89","Terrestrial","SVcb28","Savanna","Sekhukhune Mountain Bushveld","LC","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"90","Terrestrial","FFc1","Fynbos","Swellendam Silcrete Fynbos","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"91","Terrestrial","FFf2","Fynbos","Potberg Ferricrete Fynbos","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"92","Terrestrial","FFq3","Fynbos","Matjiesfontein Quartzite Fynbos","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"93","Terrestrial","NKu3","Nama-Karoo","Northern Upper Karoo","LC","NP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"94","Terrestrial","SVkd4","Savanna","Nossob Bushveld","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"95","Terrestrial","SKv14","Succulent Karoo","Steytlerville Karoo","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"96","Terrestrial","FS5","Fynbos","Langebaan Dune Strandveld","EN","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"97","Terrestrial","SKk8","Succulent Karoo","Piketberg Quartz Succulent Shrubland","CR","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"98","Terrestrial","FFh8","Fynbos","Montagu Shale Fynbos","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"99","Terrestrial","FFg4","Fynbos","Robertson Granite Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"100","Terrestrial","FRs6","Fynbos","Matjiesfontein Shale Renosterveld","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"101","Terrestrial","FFh4","Fynbos","Breede Shale Fynbos","EN","MP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"102","Terrestrial","FFs1","Fynbos","Bokkeveld Sandstone Fynbos","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"103","Terrestrial","FFd10","Fynbos","Knysna Sand Fynbos","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"104","Terrestrial","FFq4","Fynbos","Breede Quartzite Fynbos","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"105","Terrestrial","FRs5","Fynbos","Central Mountain Shale Renosterveld","LC","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"106","Terrestrial","FFq5","Fynbos","Grootrivier Quartzite Fynbos","LC","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"107","Terrestrial","FFs17","Fynbos","Potberg Sandstone Fynbos","CR","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"108","Terrestrial","FRs18","Fynbos","Baviaanskloof Shale Renosterveld","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"109","Terrestrial","FFd8","Fynbos","Breede Sand Fynbos","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"110","Terrestrial","FFa1","Fynbos","Kouebokkeveld Alluvium Fynbos","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"111","Terrestrial","FFh3","Fynbos","Swartberg Shale Fynbos","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"112","Terrestrial","FFh5","Fynbos","Cape Winelands Shale Fynbos","CR","MP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"113","Terrestrial","FFh1","Fynbos","Kouebokkeveld Shale Fynbos","CR","MP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
